City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,23.5,76,100,6.14,PN,1704694236
1,grytviken,-54.2811,-36.5092,3.88,88,50,1.53,GS,1704694238
2,guarapari,-20.6667,-40.4975,24.94,88,47,2.27,BR,1704694239
3,ust-nera,64.5667,143.2,-43.84,98,81,1.55,RU,1704694239
4,puri,19.8,85.85,23.29,45,13,4.07,IN,1704694240
5,uturoa,-16.7333,-151.4333,27.0,79,64,3.7,PF,1704694241
6,waitangi,-43.9535,-176.5597,15.46,73,10,0.89,NZ,1704694241
7,bredasdorp,-34.5322,20.0403,18.27,66,96,3.46,ZA,1704694242
8,wailua homesteads,22.0669,-159.378,23.44,87,100,5.66,US,1704694243
9,klyuchi,52.2667,79.1667,1.52,99,100,8.72,RU,1704694243
10,aasiaat,68.7098,-52.8699,-10.64,83,100,5.13,GL,1704694244
11,lebu,-37.6167,-73.65,12.28,89,1,3.17,CL,1704694245
12,turpan,42.9333,89.1667,2.18,42,0,0.65,CN,1704694246
13,acapulco de juarez,16.8634,-99.8901,24.9,83,40,2.57,MX,1704694246
14,maun,-19.9833,23.4167,27.98,54,0,2.57,BW,1704694247
15,hermanus,-34.4187,19.2345,18.33,67,30,4.51,ZA,1704694248
16,panorama,40.5878,23.0315,9.95,75,99,5.36,GR,1704694248
17,yellowknife,62.456,-114.3525,-34.84,82,97,2.24,CA,1704694109
18,arraial do cabo,-22.9661,-42.0278,23.94,86,34,7.33,BR,1704694250
19,abepura,-2.6333,140.5833,31.45,62,20,0.51,ID,1704694250
20,onchan,54.1733,-4.4532,4.62,81,40,7.72,IM,1704694251
21,yamada,39.4667,141.95,2.18,42,10,5.53,JP,1704694252
22,west island,-12.1568,96.8225,28.99,79,75,6.17,CC,1704694252
23,saint-francois,46.4154,3.9054,-0.31,93,100,5.14,FR,1704694253
24,albany,42.6001,-73.9662,-1.29,82,49,1.34,US,1704694099
25,la passe,45.5549,-0.8967,4.13,80,100,4.22,FR,1704694254
26,bojnurd,37.4747,57.329,3.97,60,0,1.03,IR,1704694255
27,norilsk,69.3535,88.2027,-20.88,97,100,3.48,RU,1704694256
28,namdrik,5.5994,168.1028,28.08,79,91,9.15,MH,1704694256
29,ancud,-41.8697,-73.8203,9.58,84,8,2.38,CL,1704694257
30,isafjordur,66.0755,-23.124,4.77,97,100,5.22,IS,1704694258
31,punta arenas,-53.15,-70.9167,8.06,66,0,10.8,CL,1704694258
32,taunggyi,20.7833,97.0333,22.24,27,4,2.65,MM,1704694259
33,stephenville,32.2207,-98.2023,11.04,74,100,7.72,US,1704694260
